Access_ID,Date,AccountMng_Pages,AccountMng_Duration,FAQ_Pages,FAQ_Duration,Product_Pages,Product_Duration,GoogleAnalytics_BounceRate,GoogleAnalytics_ExitRate,GoogleAnalytics_PageValue,OS,Browser,Country,Type_of_Traffic,Type_of_Visitor,Buy
102863333,21-Mar-20,0,0,0,0,3,64,0,0.0667,0,MacOSX,2,Portugal,1,Returner,0
103117814,20-May-20,0,0,0,0,23,684.5,0.0217,0.0449,0,Windows,2,France,6,Returner,0
103201891,4-Dec-20,0,0,0,0,8,95,0.025,0.0583,0,Windows,4,Italy,1,Returner,0
103226087,22-Dec-20,0,0,0,0,9,608.75,0,0.025,42.4225,Windows,2,United Kingdom,2,Returner,1
103234445,24-Nov-20,0,0,2,386,36,1609.9397,0,0.0093,12.5033,Windows,2,Spain,3,Returner,1
103237767,4-Mar-20,3,13,0,0,28,324.7692,0,0.0017,0,Windows,2,Portugal,6,Returner,0
103271040,3-Nov-20,15,270.0167,3,122,66,2780.6,0,0.0165,0,Windows,2,Spain,10,Returner,0
103279585,19-Mar-20,0,0,0,0,12,249.5,0.0056,0.025,0,Windows,7,Italy,1,Returner,0
103348992,26-Mar-20,0,0,0,0,3,30,0,0.0667,0,Windows,2,Portugal,1,Returner,0
103364259,13-Mar-20,0,0,0,0,17,469.4167,0,0.0118,0,Android,1,France,2,Returner,0
103374898,29-May-20,0,0,1,6,13,2782.75,0,0.0051,0,Windows,2,United Kingdom,2,New_Access,0
103383824,24-May-20,0,0,0,0,24,674.5,0.0417,0.0625,0,MacOSX,3,Spain,4,Returner,0
103429233,20-Dec-20,3,16,0,0,29,423.1667,0.0103,0.0299,0,MacOSX,2,Other,1,Returner,0
103438335,20-Nov-20,0,0,0,0,6,142.125,0,0.0333,0,MacOSX,2,Other,2,Returner,0
103570984,7-Dec-20,9,125.25,0,0,3,119.25,0,0.025,0,Ubuntu,13,United Kingdom,15,Other,0
103663338,14-Sep-20,0,0,0,0,24,1884.7,0.032,0.068,0,Windows,2,Brazil,13,Returner,0
103674236,22-Dec-20,0,0,0,0,1,0,0.2,0.2,0,Windows,2,Switzerland,1,Returner,0
103684633,24-Mar-20,0,0,0,0,31,1350.5,0.0065,0.0161,0,Windows,5,France,2,Returner,0
103710668,21-May-20,3,133.5,4,191,15,443.9333,0,0.02,0,Android,1,Spain,6,Returner,0
103778619,1-Sep-20,0,0,0,0,1,0,0.2,0.2,0,Android,1,France,2,Returner,0
104035985,10-May-20,0,0,0,0,8,222,0,0.0286,53.4746,Android,1,Portugal,2,New_Access,1
104251107,13-May-20,6,450.4,0,0,6,72.9,0,0.0286,0,Windows,2,United Kingdom,5,New_Access,0
104263583,1-May-20,2,40,0,0,21,1494.5,0.0091,0.0045,0,Windows,2,Italy,2,Returner,0
104370542,18-May-20,0,0,0,0,2,23,0,0.1,0,Windows,2,Portugal,4,Returner,0
104451620,20-Nov-20,0,0,0,0,16,381.2143,0.0125,0.0224,0,MacOSX,2,Portugal,2,Returner,0
104511063,12-Dec-20,3,875,0,0,34,780.7917,0,0.0157,0,iOS,2,Spain,2,Returner,0
104571401,21-Dec-20,0,0,0,0,1,0,0.2,0.2,0,Windows,2,Brazil,13,Returner,0
